상품명,채널구분,통합판매수량,국내판매수량,해외판매수량,통합매출_KRW,국내매출_KRW,해외매출_KRW환산,평균단가_KRW,총주문건수,국내주문건수,해외주문건수,최초판매일,시즌
Mori Dimsum Bag Brown,공통,3402.0,1296.0,2106.0,589320359.4916667,161429760.0,427890599.4916667,173227.61889819714,3116.0,1036.0,2080.0,2025-09-07,25 FW 가방 1차
Washed Leopard Dimsum Bag Pink,공통,1917.0,1354.0,563.0,284918594.68333334,173599200.0,111319394.68333334,148627.33160319945,1861.0,1304.0,557.0,2025-09-08,25 FW 가방 1차
Leopard Dimsum Bag Charcoal,공통,1113.0,690.0,423.0,169361763.3,86524200.0,82837563.3,152166.90323450137,1089.0,671.0,418.0,2025-09-07,25 FW 가방 1차
Check Hoodie Jacket Blue,공통,1094.0,1056.0,38.0,156753822.71666667,150907255.0,5846567.716666667,143285.0299055454,1093.0,1055.0,38.0,2025-01-01,24 08 FW
Patchwork Buttons Pillow Bag Navy,공통,659.0,318.0,341.0,132491607.79166667,53770500.0,78721107.79166667,201049.48071573093,636.0,296.0,340.0,2025-12-12,25 FW 02
Stripe Star L/S Blue,공통,639.0,608.0,31.0,31272183.510227274,28530507.0,2741676.5102272728,48939.2543196045,639.0,608.0,31.0,2025-01-01,24 홀리데이컬렉션
Mini Washed Leopard Dimsum Bag Pink,공통,581.0,369.0,212.0,69243923.70833333,34788950.0,34454973.70833333,119180.59158060813,555.0,344.0,211.0,2026-02-05,26 VT
Hand Warmer L/S Charcoal,공통,488.0,391.0,97.0,35122079.16111111,24261550.0,10860529.16111111,71971.47369080145,478.0,382.0,96.0,2025-09-09,25 FW 01
Dot Cozy Dumpling Bag Gray,공통,463.0,269.0,194.0,53508269.781060606,25318300.0,28189969.781060603,115568.6172377119,462.0,269.0,193.0,2025-05-17,25 SS 02
Mini Mori Dimsum Bag Brown,공통,408.0,119.0,289.0,66099824.45833333,13651750.0,52448074.45833333,162009.3736723856,394.0,108.0,286.0,2025-12-13,25 FW 02
Pom Pom Knit Half Top Blue,공통,405.0,351.0,54.0,33970958.253968254,27448200.0,6522758.253968254,83878.90926905742,372.0,318.0,54.0,2025-09-10,25 FW 01
