상품명,채널구분,통합판매수량,국내판매수량,해외판매수량,통합매출_KRW,국내매출_KRW,해외매출_KRW환산,평균단가_KRW,총주문건수,국내주문건수,해외주문건수,최초판매일,시즌,통합주문건수
Mori Dimsum Bag Brown,공통,3695.0,1416.0,2279.0,646271211.0,176355360.0,469915851.0,174904.0,3380.0,1129.0,2251.0,2025-09-07,25 FW 가방 1차,3380.0
Washed Leopard Dimsum Bag Pink,공통,2241.0,1518.0,723.0,337589990.0,193454400.0,144135590.0,150643.0,2175.0,1460.0,715.0,2025-09-08,25 FW 가방 1차,2175.0
Leopard Dimsum Bag Charcoal,공통,1352.0,805.0,547.0,208059417.0,100096600.0,107962817.0,153890.0,1325.0,784.0,541.0,2025-09-07,25 FW 가방 1차,1325.0
Check Hoodie Jacket Blue,공통,1096.0,1057.0,39.0,157216817.0,151066505.0,6150312.0,143446.0,1095.0,1056.0,39.0,2025-01-01,24 08 FW,1095.0
Mini Washed Leopard Dimsum Bag Pink,공통,865.0,534.0,331.0,103270755.0,49001000.0,54269755.0,119388.0,833.0,505.0,328.0,2026-02-05,26 VT,833.0
Patchwork Buttons Pillow Bag Navy,공통,754.0,354.0,400.0,150892959.0,58558500.0,92334459.0,200123.0,725.0,326.0,399.0,2025-12-12,25 FW 02,725.0
Stripe Star L/S Blue,공통,639.0,608.0,31.0,31328908.0,28530507.0,2798401.0,49028.0,639.0,608.0,31.0,2025-01-01,24 홀리데이컬렉션,639.0
Dot Cozy Dumpling Bag Gray,공통,529.0,297.0,232.0,63102010.0,28342300.0,34759710.0,119285.0,528.0,297.0,231.0,2025-05-17,25 SS 02,528.0
Hand Warmer L/S Charcoal,공통,500.0,394.0,106.0,36354419.0,24414850.0,11939569.0,72709.0,490.0,385.0,105.0,2025-09-09,25 FW 01,490.0
Mini Mori Dimsum Bag Brown,공통,408.0,119.0,289.0,67184957.0,13651750.0,53533207.0,164669.0,394.0,108.0,286.0,2025-12-13,25 FW 02,394.0
Pom Pom Knit Half Top Blue,공통,405.0,351.0,54.0,34105912.0,27448200.0,6657712.0,84212.0,372.0,318.0,54.0,2025-09-10,25 FW 01,372.0
Suede Bao Bag Brown,공통,394.0,380.0,14.0,24145264.0,22666740.0,1478524.0,61282.0,394.0,380.0,14.0,2025-01-01,24 08 FW,394.0
Dot Cozy Bao Bag Gray,공통,388.0,354.0,34.0,23137306.0,19709850.0,3427456.0,59632.0,388.0,354.0,34.0,2025-05-17,25 SS 02,388.0
Mori Dimsum Bag Black,공통,369.0,131.0,238.0,65681479.0,16208100.0,49473379.0,177999.0,360.0,124.0,236.0,2025-12-13,25 FW 02,360.0
Wool Leopard Pillow Bag Beige,공통,337.0,247.0,90.0,59053636.0,39890500.0,19163136.0,175233.0,337.0,247.0,90.0,2025-09-07,25 FW 가방 1차,337.0
Suede Bao Bag Camel,공통,328.0,316.0,12.0,20009059.0,19024810.0,984249.0,61003.0,326.0,314.0,12.0,2025-01-01,24 홀리데이컬렉션,326.0
Washed Leopard Dimsum Bag Purple,공통,325.0,149.0,176.0,54447231.0,19109000.0,35338231.0,167530.0,322.0,146.0,176.0,2025-10-03,26 SS 01,322.0
Fleece Hockey Jersey Navy,공통,305.0,298.0,7.0,28071127.0,27421444.0,649683.0,92036.0,301.0,294.0,7.0,2025-01-01,24 홀리데이컬렉션,301.0
Shooting Star Angel Dress White,공통,297.0,271.0,26.0,19003144.0,16753810.0,2249334.0,63984.0,294.0,271.0,26.0,2025-05-17,25 SS 02,297.0
Mini Washed Leopard Dimsum Bag Purple,공통,321.0,161.0,160.0,41547993.0,14953600.0,26594393.0,129433.0,316.0,156.0,160.0,2026-02-05,26 VT,316.0
Sheer Dot Buttons Baby Tee Navy,공통,296.0,268.0,28.0,12091018.0,9827490.0,2263528.0,40848.0,280.0,265.0,27.0,2025-05-17,25 SS 02,292.0
Mini Mori Dimsum Bag Black,공통,291.0,97.0,194.0,46628708.0,11157750.0,35470958.0,160236.0,286.0,94.0,192.0,2025-12-12,25 FW 02,286.0
